Album,Song,Year,Run-time,Featured artist(s),Writer(s),Skit,Lyrics
The College Dropout,Intro (Skit),2004,0:19,,Kanye West,Y,"Kanye, can I talk to you for a minute? Me and the other faculty members was wonderin' could you do a lil som... Somethin' beautiful, somethin' that the kids is gon' love when they hear it. Tha's gon make them start jumpin' up and down and sharin' candy an' stuff. Think you could probably do somethin' for the kids for graduation to sing?"
The College Dropout,We Don't Care,2004,3:59,,"Kanye West, Miri Ben-Ari, Ross Vannelli",N,"[Intro]
Oh yeah, I've got the perfect song for the kids to sing
And all my people that's...

[Hook]
Drug dealin' just to get by
Stack ya' money 'til it get sky high
We wasn't s'posed to make it past 25
Joke's on you, we still alive
Throw your hands up in the sky and say:
""We don't care what people say""

[Verse 1]
If this is your first time hearin' this
You are about to experience somethin' so cold, man
We never had nothin' handed, took nothin' for granted
Took nothin' from no man, man, I'm my own man
But as a shorty I looked up to the dopeman
Only adult man I knew that wasn't broke, man
Flickin' Starter coats, man
Man, you don't know, man
We don't care what people say
This is for my niggas outside all winter
'Cause this summer they ain't finna say: ""next summer I'm finna""
Sittin' in the hood like community colleges
This dope money here is Lil' Trey's scholarship
'Cause ain't no tuition for having no ambition
And ain't no loans for sittin' your ass at home
So we forced to sell crack, rap, and get a job
You gotta do somethin' man, your ass is grown

[Hook]
Drug dealin' just to get by
Stack ya' money 'til it get sky high
(Kids, sing! Kids, sing!)
We wasn't s'posed to make it past 25
Joke's on you, we still alive
Throw your hands up in the sky and say:
""We don't care what people say""

[Verse 2]
The second verse is for my dogs workin' 9 to 5 that still hustle
'Cause a nigga can't shine off $6.55
And everybody sellin' makeup, Jacob's
And bootlegged tapes just to get they cake up
We put shit on layaway, then come back
We claim other people kids on our income tax
We take that money, cop work, then push packs to get paid
And we don't care what people say
Momma say she wanna move South
Scratchin' lottery tickets, eyes on a new house
'Round the same time, Doe ran up in dude house
Couldn't get a job, so since he couldn't get work
He figured he'd take work
The drug game bulimic, it's hard to get weight
A nigga's money is homo, it's hard to get straight
But we gon' keep bakin' til the day we get cake
And ""we don't care what people say""

[Hook]
Drug dealin' just to get by
Stack ya' money 'til it get sky high
(Kids, sing! Kids, sing!)
We wasn't s'posed to make it past 25
Joke's on you, we still alive
Throw your hands up in the sky and say:
""We don't care what people say""

[Verse 3]
You know the kids gon' act a fool
When you stop the programs for after school
And they DCFS, some of 'em dyslexic
They favorite 50 Cent song ""12 Questions""
We scream: ""rocks, blow, weed, park"", see, now we smart
We ain't retards, the way teachers thought
Hold up, hold fast, we make more cash
Now tell my momma I belong in that slow class
Sad enough we on welfare
They tryna put me on the school bus with the space for the wheelchair
I'm tryna get the car with the chromie wheels here
They tryna cut our lights out like we don't live here
Look what was handed us, fathers abandoned us
When we get them hammers, go on, call the ambulance
Sometimes I feel no one in this world understands us
But ""we don't care what people say""
My niggas

[Hook]
Drug dealin' just to get by
Stack ya' money 'til it get sky high
(Kids, sing! Kids, sing!)
We wasn't s'posed to make it past 25
Joke's on you, we still alive
Throw your hands up in the sky and say:
""We don't care what people say"""
The College Dropout,Graduation Day,2004,1:22,,"Kanye West, John Stephens, Miri Ben-Ari",N,"What in the fuck was that Kanye?!
I told you to do some shit for the kids!
You can give me your muthafuckin' graduation ticket right now!
You give me this muthafuckin' robe before you catch some senioritis!
You will not walk across that stage, you won’t slide across that stage!
A muthafucka can’t pull you across that stage Kanye!
Who told you see, I told you to do somethin' uplifting!
I’m tryin' to get you out here with these white people and this how you're gonna do me!
You know what, you's a nigga!
And I don’t mean that in no nice way
Had little kids sing about the shit, the jokes on you
You throw your mutha hands in the air, and wave good-bye to everybody
Cause you gettin' the fuck out of this campus
What the fuck you gone do now

[John Legend]
I'm no longer confused but don't tell anybody
I'm about to break the rules but don't tell anybody
I got something better than school but don't tell anybody
My momma would kill me but don't tell anybody
She wants me to get a good ass job just like everybody
She ain't walked in my shoes I'm just not everybody"
The College Dropout,All Falls Down,2004,3:43,Syleena Johnson,"Kanye West, Lauryn Hill",N,"[Hook: Syleena Johnson + Kanye West]
Oh, when it all, it all falls down
Yeah, this the real one, baby
I'm tellin' you all, it all falls down
Uh, Chi-Town, stand up!
Oh, when it all, it all falls down
Southside, Southside
We gon' set this party off right
I'm tellin' you all, it all falls down
Westside, Westside
We gon' set this party off right
Oh, when it all

[Verse 1: Kanye West]
Man, I promise, she's so self-conscious
She has no idea what she doin' in college
That major that she majored in don't make no money
But she won't drop out, her parents'll look at her funny
Now, tell me that ain't insecurr
The concept of school seems so securr
Sophomore, three yurrs, ain't picked a carurr
She like, ""Fuck it, I'll just stay down hurr and do hair.""
‘Cause that's enough money to buy her a few pairs
Of new Airs, ‘cause her baby daddy don't really care
She's so precious with the peer pressure
Couldn't afford a car, so she named her daughter Alexis
She had hair so long that it looked like weave
Then she cut it all off, now she look like Eve
And she be dealin' with some issues that you can't believe
Single black female addicted to retail, and well

[Hook: Syleena Johnson + Kanye West]
Oh, when it all, it all falls down
And when it falls down, who you gon' call now?
I'm tellin' you all, it all falls down
C'mon, c'mon, and when it falls down
Oh, when it all

[Verse 2: Kanye West]
Man, I promise, I'm so self-conscious
That's why you always see me with at least one of my watches
Rollie's and Pasha's done drove me crazy
I can't even pronounce nothin', pass that Ver-say-see!
Then I spent four hundred bucks on this
Just to be like, ""Nigga, you ain't up on this.""
And I can't even go to the grocery store
Without some Ones that's clean and a shirt with a team
It seem we livin' the American Dream
But the people highest up got the lowest self-esteem
The prettiest people do the ugliest things
For the road to riches and diamond rings
We shine because they hate us, floss 'cause they degrade us
We tryna buy back our 40 acres
And for that paper, look how low we'll stoop
Even if you in a Benz, you still a nigga in a coupe

[Hook: Syleena Johnson + Kanye West]
Oh, when it all, it all falls down
Come on, come on
I'm tellin' you all, it all falls down
And when it falls down, who you gon' call now?
Oh, when it all, it all falls down
Come on, come on
I'm tellin' you all, it all falls down
And when it all falls down

[Verse 3: Kanye West]
I say, ""Fuck the police,"" that's how I treat 'em
We buy our way out of jail, but we can't buy freedom
We'll buy a lot of clothes, but we don't really need 'em
Things we buy to cover up what's inside
'Cause they made us hate ourself and love they wealth
That's why shorty's hollerin', ""Where the ballers at?""
Drug dealer buy Jordan, crackhead buy crack
And the white man get paid off of all of that
But I ain't even gon' act holier than thou
'Cause fuck it, I went to Jacob with 25 thou
Before I had a house and I'd do it again
‘Cause I wanna be on 106 & Park, pushin' a Benz
I want to act ballerific like it's all terrific
I got a couple past-due bills, I won't get specific
I got a problem with spendin' before I get it
We all self-conscious, I'm just the first to admit it

[Hook: Syleena Johnson + Kanye West]
Oh, when it all, it all falls down
C'mon, c'mon
And when it falls down, who you gon' call now?
I'm tellin' you all, it all falls down
C'mon c'mon, and when it falls down
Oh, when it all, it all falls down
Southside, Southside
We gon' set this party off right
I'm tellin' you all, it all falls down
Westside, Westside
We gon' set this party off right
Oh when it all, it all falls down
Chi-Town, Chi-Town
We gon' show 'em how we get down
I'm tellin' you all, it all falls down
Now, Syleena, you just like a safe belt, you saved my life
C'mon
Oh when it all, it all falls down
I'm tellin' you all, it all falls down"
The College Dropout,I'll Fly Away,2004,1:09,,Albert E. Brumley,N,"One glad morning
When this life is over
I'll fly away
To a land where
Joy shall never end
I'll fly away

Oh I'll fly away oh glory
I'll fly away
When I die Hallelujah bye and bye
I'll fly away"
The College Dropout,Spaceship,2004,5:24,"GLC, Consequence","Kanye West, Tony Williams, Leonard Harris, Dexter Mills, Marvin Gaye, Gwen Gordy, Fuqua, Sandra Greene",N,"[Hook]
I've been workin' this graveshift and I ain't made shit
I wish I could buy me a spaceship and fly past the sky
I've been workin' this graveshift and I ain't made shit
I wish I could buy me a spaceship and fly past the sky

[Verse 1: Kanye West]
If my manager insults me again
I will be assaulting him
After I fuck the manager up
Then I'm gonna shorten the register up
Let's go back, back to the Gap
Look at my check, wasn't no scratch
So if I stole, wasn't my fault
Yeah I stole, never got caught
They take me to the back and pat me
Askin' me about some khakis
But let some black people walk in
I bet you they show off their token blackie
Oh now they love Kanye, let's put him all in the front of the store
So I'm on break, next to the ""no smokin'"" sign with a blunt in the mall
Takin' my hits, writing my hits
Writin' my rhymes, playin' my mind
This fuckin' job can't help him
So I quit, y'all welcome
Y'all don't know my struggle
Y'all can't match my hustle
You can't catch my hustle
You can't fathom my love, dude
Lock yourself in a room doing 5 beats a day for 3 summers
That's a Different World like Cree Summer's
I deserve to do these numbers
""The kid that made that deserves that Maybach!""
So many records in my basement
I'm just waiting on my spaceship

[Hook]
I've been workin' this graveshift and I ain't made shit
I wish I could buy me a spaceship and fly past the sky
I've been workin' this graveshift and I ain't made shit
I wish I could buy me a spaceship and fly past the sky

[Verse 2: GLC]
And I didn't even try to work a job
Represent the mob
At the same time thirsty on the grind
Chi state of mind
Lost my momma, lost my mind
Life my love, that's not mine
""Why you ain't signed?""
Wasn't my time
Leave me alone, work for y'all
Half of it's yours, half of it's mine
Only one to ball
Never one to fall
Got to get mine
Got to take mine
Got a Tec-9
Reach my prime
Got to make these haters respect mine
In the mall until 12 when my schedule had said 9
Putting them pants on shelves
Waiting patiently I ask myself
Where I want to go, where I want to be
Life is much more than running in the streets
Holla at 'Ye, hit me with the beat
Put me on my feet
Sound so sweet
Yes I'm the same ol' G, same goatee
Staying low key, nope
Holler at God ""Man why'd you have to take my folks?""
Hope to see Freddie G., Yusef G
Love my G, Rolly G
Police watch me smoke my weed, count my G's
Got a lot of people counting on me
And I'm just trying to find my peace
Should've finished school like my niece
Then I finally wouldn't use my piece (blaw!)

[Hook]
I've been workin' this graveshift and I ain't made shit
I wish I could buy me a spaceship and fly past the sky
I've been workin' this graveshift and I ain't made shit
I wish I could buy me a spaceship and fly past the sky

[Verse 3: Consequence]
I remember having to take the dollar cab
Coming home real late at night
Standing on my feet all damn day
Trying to make this thing right
And having one of my co-workers say ""Yo, you look just like
This kid I seen in an old Busta Rhymes video the other night""
Well easy come, easy go, how that saying goes
No more broad service, cars, and them TV shows
I had all that snatched from me
A&Rs and they faculties all turn their back on me
And didn't want to hear a rap from me
So naturally actually had to face things factually
Had to be a catastrophe with the fridges staring back at me
Cause nothing's there, nothing's fair
I don't want to ever go back there
So I won't be taking no days off 'til my spaceship takes off

[Hook]
I've been workin' this graveshift and I ain't made shit
I wish I could buy me a spaceship and fly past the sky
I've been workin' this graveshift and I ain't made shit
I wish I could buy me a spaceship and fly past the sky

[Outro: Tony Williams]
I want to fly, I want to fly
I said I want my chariot to pick me up
And take me, brother, for a ride"
The College Dropout,Jesus Walks,2004,3:13,,"Kanye West, Che Smith, Miri Ben-Ari, Curtis Lundy",N,"[Intro]
We at war
We at war with terrorism, racism
But most of all we at war with ourselves

[Hook]
(Jesus walk)
God show me the way because the Devil tryna break me down
(Jesus walk with me)

[Verse 1]
You know what the Midwest is? Young and restless
Where restless (niggas) might snatch your necklace
And next these (niggas) might jack your Lexus
Somebody tell these (niggas) who Kanye West is
I walk through the valley of the Chi where death is
Top floor the view alone will leave you breathless *gasps*
Try to catch it *gasps* it's kinda hard
Getting choked by detectives, yeah, yeah, now check the method
They be askin' us questions, harass and arrest us
Sayin' ""We eat pieces of shit like you for breakfast""
Huh? Y'all eat pieces of shit? What's the basis?
We ain't going nowhere but got suits and cases
A trunk full of coke, rental car from Avis
My mama used to say only Jesus can save us
Well mama I know I act a fool
But I'll be gone 'til November, I got packs to move
I hope

[Hook]
(Jesus walk)
God show me the way because the Devil's tryna break me down
(Jesus walk with me)
The only thing that I pray is that my feet don't fail me now
(Jesus walk)
And I don't think there's nothin' I can do now to right my wrongs
(Jesus walk with me)
I wanna talk to God but I'm afraid cause we ain't spoke in so long
(Jesus walk)
God show me the way because the Devil's tryna break me down
(Jesus walk with me)
The only thing that I pray is that my feet don't fail me now
(Jesus walk)
And I don't think there's nothin' I can do now to right my wrongs
(Jesus walk with me)
I wanna talk to God but I'm afraid cause we ain't spoke in so long
So long, so long
(Jesus walk with me)

[Verse 2]
To the hustlers, killers, murderers, drug dealers, even the scrippers
(Jesus walks for them)
To the victims of welfare feel we livin' in Hell here, hell yeah
(Jesus walks for them)
Now, hear ye, hear ye, want to see Thee more clearly
I know he hear me when my feet get weary
Cause we're the almost nearly extinct
We rappers is role models: we rap, we don't think
I ain't here to argue about his facial features
Or here to convert atheists into believers
I'm just tryna say the way school need teachers
The way Kathie Lee needed Regis, that's the way I need Jesus
So here go my single dog, radio needs this
They say you can rap about anything except for Jesus
That means guns, sex, lies, videotape
But if I talk about God my record won't get played, huh?
Well if this take away from my spins
Which'll probably take away from my ends
Then I hope this take away from my sins
And bring the day that I'm dreamin' about
Next time I'm in the club, everybody screamin' out

[Hook]
(Jesus walk)
God show me the way because the Devil's tryna break me down
(Jesus walk with me)
The only thing that I pray is that my feet don't fail me now"
The College Dropout,Never Let Me Down,2004,5:24,"Jay-Z, J. Ivy","Kanye West, Shawn Carter, James Richardson, Michael Bolton, Bruce Kulick",N,"[Hook]
When it comes to being true, at least true to me
One thing I've found, one thing I found
Oh no, you'll never let me down
Get up, I get down
Get up, I get down
Get up, I get down
Get up, I get down
Get up, I get down
Get up, I get down

[Verse 1: Jay-Z]
Yo, first I snatched the streets, then I snatched the charts
First I had they ear, now I have they heart
Rappers came and went, I've been here from the start
I seen them put it together, watched them take it apart
Seen the Rovers roll up with ribbons
I seen them re-po'd, re-sold, then re-driven
So when I reload, he holds number one position
When you hot, I'm hot
And when your feet cold, mines is sizzling
It's plain to see, niggas can't fuck with me
'cause I'mma be that nigga for life
This is not an image, this is God given
This is hard livin', mixed with Cristal sippin'
It's the most consistent, Hov
Give you the most hits you can fit inside a whole disc and
Nigga I'm home on these charts, y'all niggas visitin'
It's Hov tradition, Jeff Gordon of rap
I'm back to claim pole position, holla at ya boy

[Hook]
When it comes to being true, at least true to me
One thing I've found, one thing I found
Oh no, you'll never let me down
Get up, I get down
Get up, I get down
Get up, I get down
Get up, I get down
Get up, I get down
Get up, I get down

[Verse 2: Kanye West]
I get down for my grandfather who took my mama
Made her sit in that seat where white folks ain't want us to eat
At the tender age of 6 she was arrested for the sit-ins
And with that in my blood I was born to be different
Now niggas can't make it to ballots to choose leadership
But we can make it to Jacob's and to the dealership
That's why I hear new music and I just don't be feelin' it
Racism's still alive, they just be concealin' it
But I know they don't want me in the damn club
They even made me show ID to get inside of Sam's Club
I done did dirt and went to church to get my hands scrubbed
Swear I've been baptized 'least three or four times
But in the land where niggas praise Yukons and getting paid
It's gonna take a lot more than coupons to get us saved
Like it take a lot more than doo rags to get you waves
Nothing sad as that day my girl's father passed away
So I promised to Mr. Rainey I'm gonna marry your daughter
And you know I gotta thank you for the way that she was brought up
And I know that you were smiling when you see the car I bought her
You sent tears from heaven when you seen my car get balled up
But I can't complain what the accident did to my left eye
Cause look what an accident did to Left Eye
First Aaliyah now Romeo must die
I know I got angels watching me from the other side

[Hook]
When it comes to being true, at least true to me
One thing I've found, one thing I found
Oh no, you'll never let me down
Get up, I get down
Get up, I get down
Get up, I get down
Get up, I get down
Get up, I get down
Get up, I get down

[Verse 3: J. Ivy]
We are all here for a reason on a particular path
You don't need a curriculum to know that you're a part of the math
Cats think I'm delirious but I'm so damn serious
That's why I expose my soul to the globe; the world
I'm trying to make it better for these little boys and girls
I'm not just another individual
My spirit is a part of this that's why I get spiritual
But I get my hymns from Him
So it's not me, it's He that's lyrical
I'm not a miracle, I'm a heaven-sent instrument
My rhythmatic regiment navigates melodic notes
For your soul and your mental
That's why I'm instrumental, vibrations is what I'm into
Yeah I need my loot by rent day
But that ain't what gives me the heart of Kunta Kinte
I'm trying to get us ""us free"" like Cinque
I can't stop, that's why I'm hot
Determination, dedication, motivation
I'm talking to you of my many inspirations
When I say I can't let you or self down
If I were on the highest cliff, on the highest riff
And if you slipped off the side and clinched on to your life
In my grip I would never ever let you down
And when these words are found
Let it be known that God's penmanship has been signed
With a language called love
That's why my breath is felt by the deaf
And while my words are heard and confined to the ears of the blind
I too dream in color and in rhyme
So I guess I'm one of a kind in a full house
Cause whenever I open my heart, my soul or my mouth
A touch of God reigns out (Take 'em to church)

[Hook]
When it comes to being true, at least true to me
One thing I've found, one thing I found
Oh no, you'll never let me down
Get up, I get
Get up, I get
Get up, I get
Get up, I get
Get up, I get
Get up, I get down

[Verse 4: Jay-Z and (Kanye West)]
Who else you know been hot this long? (Oh yeah, we ain't finished)
Started from nothing but he got this strong (The Roc is in the building)
Built the Roc from a pebble, peddled rock before I met you
Pedaled bikes, got my nephews pedal bikes because they special (Wooooo)
Let you tell it, man, I'm falling
Well, somebody must have caught him
'cause every fourth quarter, I like to Mike Jordan them
Number one albums, what I got? Like four of them
More of them on the way, the eighth wonder on the way
Clear the way, I'm here to stay
Y'all can save the chitter-chat, this and that
This is Jay, dissing Jay will get you maced
When I start spitting them lyrics niggas get very religious
Six Hail Marys, 'Please Father forgive us'
Young the archbishop, the Pope John Paul of y'all niggas
They way y'all all follow Jigga
Hov's a living legend and I'll tell you why
Everybody wanna be Hov and Hov's still alive"
The College Dropout,Get Em High,2004,4:49,"Talib Kweli, Common","Kanye West, Talib Kweli Greene, Lonnie Rashid Lynn Jr.",N,"[Kanye West]
I'm trying to catch the beat, uh
I'm trying to catch the beat
I'm trying to catch the beat, uh uh, uh
I'm trying to catch the beat

[Hook: Kanye West]
N-now, th-th-throw your motherfuckin' hands
Get 'em high
All the girls pass the weed to your motherfuckin' man
Get 'em high
Now I ain't never tell you to put down your hands
Keep 'em high
And if you're losin' your high then smoke again
Keep 'em high

[Verse 1: Kanye West]
N-n-n-now, my flow
Is in the pocket like wallets, I got the bounce like hydraulics
I can't call it, I got the swerve like alcoholics
My freshman year I was going through hella problems
'Til I, built up the nerve to drop my ass up out of college
My teacher said I'se a loser, I told her why don't you kill me
I give a fuck if you fail me, I'm gonna follow
My heart, and if you follow the charts
Or the plaques or the stacks
You ain't gotta guess who's back, you see
I'm so Chi that you thought I was bashful
But this bastard's flow will bash your skull
And I will, cut your girl like Pastor Tro'
And I don't, usually smoke
But pass the 'dro
And I won't, give you that money that you asking for
Why you think me and Dame cool? We assholes
That's why we hear your music in fast forward
'Cuz we don't wanna hear that weak shit no mo'

[Hook: Kanye West]
N-now, th-th-throw your motherfuckin' hands
Get 'em high
All the girls pass the weed to your motherfuckin' man
Get 'em high
Now I ain't never tell you to put down your hands
Keep 'em high
And if you're losin' your high then smoke again
Keep 'em high

[Verse 2: Kanye West + Sumeke Rainey]
N-n-n-n-n-now who the hell is this
E-mailing me at 11:26?
Telling me that she 36-26, plus double-d
You know how girls on Black Planet be when they get bubbly
At NYU but she hail from Kansas
Right now she just lamping, chilling on campus
Sent me a picture of her feelin' on Candice
Who said her favorite rapper was the late great Francis
W-H-I-T-E, it's getting late mami
Your screen saver say tweet, so you got to ""call me""
And bring a friend for my friend, his name Kweli
(You mean Talib? Lyrics sticks to your rib)
I mean (That's my favorite CD that I play at my crib)
I mean (You don't really know him, why is you lyin')
Yo Kwe, she don't believe me, please pick up the line
She gon' think that I'm lyin', just spit a couple of lines
Then maybe I'll be able to give her dick all the time
And get her high

[Verse 3: Talib Kweli]
Yo, I can't believe this nigga use my name for picking up dimes
But never mind, I need some tracks, you tryin' to pull tracks out
And my rhymes is finna blow, you trying to blow backs out
Well okay, you twisted my arm, I'll assist with the charm
Ayo, ain't you meet that chick at that conference with your moms?
And sister's the bomb, boy she got the bougie behavior
Always got something to say like a okay playa hater
Anyway, I don't usually fuck with the Internet
Or chicks with birth control stuck to they arm like Nicorette
You really fuckin' that much or trying to get off cigarettes?
If she think it's fly, she ain't met a real nigga yet
Now I apologize if I come off a little inconsiderate
I got the bubba kush and a sister could get a hit of it

[Verse 4: Common]
Get 'em high like noon or the moon
Or a room filled with smoke, a hype filled with dope
Y'all assumed I was doomed, out of tune
But I still filled the notes with real nigga quotes
Real rappers is hard to find, like a remote
Control rap is out of
Used to, but still got love
That's why I abuse you who are not thugs
Rock clubs, it's like Tiger
Woods in the hood, to have my own reality show, called Soul Survivor
I stole on liver, niggas than you
You's a bitch I got ones that are thicker than you
How could I ever let your words affect me
They say Hip-Hop is dead, I'm here to resurrect me
Marsha's too sexy to even make songs like these
That's why the raw don't know your name, like Alicia Keys
Too many featured emcees, and pro-ducers is popular
Twelve thousand spins, nobody got to coppin' a
Album, how come, you the hot garbage of
The year's clear your image and snooped up
Label got you souped up, tellin' you you sick
When you a dick with a loose nut
Video hard to watch like Medusa
Even your club record need a booster
Chimped up, with a pimp cup, illiterate nigga
Read the infra-red across your head, I'm bred king like Simba
Bolder than Denver, I ain't a Madd Rapper
Just an emcee with a temper
You dancing for money like Honey, I did this my way
So when the industry crash, I survive like Kanye
Spittin' through wires and fires, emcees retirin'
Got your hands up, get them motherfuckers higher then

[Hook: Kanye West]
N-now, th-th-throw your motherfuckin' hands
Get 'em high
All the girls pass the weed to your motherfuckin' man
Get 'em high
Now I ain't never tell you to put down your hands
Keep 'em high
And if you're losin' your high then smoke again
Keep 'em high"
The College Dropout,Workout Plan (Skit),2004,0:46,,Kanye West,Y,"*Key*
[G1] Girl #1
[G2] Girl #2
[G3] Girl #3

[G1] Ay Wussup girl

[G2] Heyy girl

[G3] Hey How u doin'?

[G1] Ay you know i finally got my shit together been watchin' that workout plan gurl!!

[G2] Well you lookin' all good and stuff you got you a-

[G1] Girl i know it's that workout

[G2] Got you a six pack Shakur and stuff

[G1] Don't say it

[G3] My nigga my nigga I'm tired of puttin' 1-8-7 in my nigga's pager that shit ain't workin' no more

[G1] Girl you know I'mma video hofesional now (Girl) since I copped this new workout plan my shit is right, rollin' in Lexus, Acuras, everything girl

[G3] Girl, you need to let me know where I can cop that, how much is it?

[G1] Girl, you know you ain't gotta pay nothin' around me, I'm the bootleg queen I'll give it to you for Free.99

[G2 & G3] FREE.99?!

[G3] That's my dawg, you always lookin' out for us

[G2] My nigga, now I can throw away my bus pass and shit oh my God

[G3] Oh, shit"
The College Dropout,The New Workout Plan,2004,5:22,"Kanye West, John Stephens, Bosco Kante, Sumeke Rainey, Miri Ben-Ari",,N,"[Intro: Kanye West]
You just popped in the Kanye West
Get Right for the Summer workout tape
And ladies if you follow these instructions exactly
You might be able to pull you a rapper, a NBA player
Man, at least a dude with a car
So first of all we gonna work on the stomach
Nobody wants a little tight ass

[Verse 1: Kanye West]
1, and 2, and 3, and 4, and get them sit ups right, and
Tuck your tummy tight and do your crunches like this
Give head, stop breathe, get up, check your weave
Don't drop the blunt and disrespect the weed
Pick up your son and don't disrespect your seed
It's a party tonight and ooh she's so excited
Tell me who's invited: you, your friends and my dick
What's scary to me is
Henny makes girls look like Halle Berry to me
So excuse me miss, I forgot your name
Thank you, God bless you, good night I came, I came, I came

[Hook: Kanye West]
It's been a week without me
And she feel weak without me
She wanna talk it out but
Ain't nothing to talk about
Unless she's talking about freaking out
Then maybe we can work it out
Work it out
Work it out
Work it out
Work it out now
Maybe we can work it out


[Verse 2: Kanye West]
Oh girl your silhouette make me wanna light a cigarette
My name Kanye from the Jigga set
Twista said ""Get It Wet""
Ooh girl your breath is harsh!
Cover your mouth up like you got SARS
Off them tracks yea I bought them cars
Still kill a nigga on 16 bars
We ain't sweating to the oldies
We juking to a cold beat
Maybe one day girl we can bone
So you can brag to all your homies now
But I still mess with a big girl
If you ain't fit girl, I'll still hit girl
1 and you brought 2 friends
OK, 3 more now hop in the Benz
4-door - do you know the difference between a 5, 6, 7, 8
All the mocha lattes you gotta do Pilates
You gotta pop this tape in before you start back dating
Hustlers, gangstas, all us ballas

[Interlude]

[Hook: Kanye West]
It's been a week without me
And she feel weak without me
She wanna talk it out but
Ain't nothing to talk about
Unless she's talking about freaking out
Then maybe we can work it out
Work it out
Work it out
Work it out
Work it out now
Maybe we can work it out

[Jill]
Hi, my name is Jill, I just want to say thanks to
Kanye's workout plan. I was able to pull a NBA player
And like now I shop every day on Rodeo Drive
I just want to say, thank you Kanye! Woooo! Woooo! Woooo!

[Lasandra]
My name is Lasandra, and I just want to say
That ever since listening to Kanye's workout tape
I was able to get my phone bill paid, I got sounds and 13's
Put up in my Cavalier and I was able to get a free trip to Cancun
And what's most importantly is that I ain't gotta fuck with Ray-Ray's
Broke ass no mo'

[Kanye West]
Work it out
Juke it out
Pump it out
Shut 'em out
Let's go out

[Ella-May]
My name is Ella-May from Mobile, Alabama
And I just want to say since listening to Kanye's workout tape
I been able to date outside the family, I got a double wide
And I rode the plane, rode the plane, rode the plane

[Girls]
Thanks to Kanye's workout plan
I'm the envy of all my friends
See I pulled me a baller man
And I ain't gotta work at the mall again

[Kanye West]
(Lemme break ya wit' a piece of)
My favorite work out plan (oh! oh! oh!)
I wanna see you work out (yeah, yeah, yeah, yeah, yeah, yeah, yeah, yeah)
I wanna see you work out
It's like that old Michael Jackson shit

That's right put in work, move your ass, go berserk
Eat your salad, no dessert
Get that man you deserve
It's Kanye's workout plan
I said it's Kanye's workout plan (Ladies and gentlemen)
It's Kanye's workout plan (Allow myself to introduce myself)
His woooorrrrkkoouut plan (This time around I want y'all to clap like this)

That's right, put in work
Move your ass, go berserk
Eat your salad, no dessert
Get that man you deserve (Stop!)
It's Kanye's workout plan (Ok breathe)
I said it's Kanye's workout plan (I know y'all ain't tired)
It's Kanye's workout plan (But I hope not, 'cuz on this one I need ya)
His woooorrrrkkoouut plan (To give me a soul clap ok? Double time)

That's right, put in work (Woo!)
Move your ass, go berserk (Ow!)
Eat your salad, no dessert (Ugh!)
Get that man you deserve

